CpG,Location,Chr,Pos,Gene,Type,Beta,SE,P,Details,StudyID,Author,Consortium,PMID,Date,Trait,EFO,Analysis,Source,Outcome,Exposure,Covariates,Outcome_Units,Exposure_Units,Methylation_Array,Tissue,Further_Details,N,N_Cohorts,Age,Sex,Ancestry
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,0.024,0.00564,1.7e-05,,Robert-F-Hillary_Incident_COPD_Basic_model,Robert F Hillary,Generation Scotland,10.1101/2023.01.10.23284387,9/6/2023,Incident COPD,NA,Basic model,https://doi.org/10.5281/zenodo.8021411,DNA methylation,Incident COPD,"Age, Sex, Cell composition (reference based)",M values,NA,Illumina HumanMethylationEPIC,Whole blood,,17902,1,Adults (18-65 years),Both,European
cg14320625,chr19:54384186,19,54384186,PRKCG,North shore,-0.015,0.00368,6e-05,,Robert-F-Hillary_Incident_COPD_Basic_model,Robert F Hillary,Generation Scotland,10.1101/2023.01.10.23284387,9/6/2023,Incident COPD,NA,Basic model,https://doi.org/10.5281/zenodo.8021411,DNA methylation,Incident COPD,"Age, Sex, Cell composition (reference based)",M values,NA,Illumina HumanMethylationEPIC,Whole blood,,17902,1,Adults (18-65 years),Both,European
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,0.042,0.00721,4.9e-09,,Robert-F-Hillary_Incident_COPD_Basic_model,Robert F Hillary,Generation Scotland,10.1101/2023.01.10.23284387,9/6/2023,Incident COPD,NA,Basic model,https://doi.org/10.5281/zenodo.8021411,DNA methylation,Incident COPD,"Age, Sex, Cell composition (reference based)",M values,NA,Illumina HumanMethylationEPIC,Whole blood,,17902,1,Adults (18-65 years),Both,European
cg15702905,chr5:137937438,5,137937438,-,Open sea,0.88,0.2,1e-05,Fully_Adjusted_Model,Robert-F.-Hillary_c-reactive_protein__crp__levels_fully-adjusted_model,Robert F. Hillary,Generation Scotland,doi.org/10.1101/2023.11.02.23298000,"Nov 3, 2023",C-reactive protein (CRP) levels,NA,Fully-adjusted model,NA,C-reactive protein (CRP) levels,DNA methylation,"Age, Sex, Smoking, Cell composition (reference based), Batch effects, Ancestry (genomic PCs), Body mass index, Socio-economic position, Education, Alcohol consumption",mg/L,Beta values,Illumina HumanMethylationEPIC,Whole blood,NA,14040,1,Adults,Both,European
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,1.5,0.27,6.3e-08,Fully_Adjusted_Model,Robert-F.-Hillary_c-reactive_protein__crp__levels_fully-adjusted_model,Robert F. Hillary,Generation Scotland,doi.org/10.1101/2023.11.02.23298000,"Nov 3, 2023",C-reactive protein (CRP) levels,NA,Fully-adjusted model,NA,C-reactive protein (CRP) levels,DNA methylation,"Age, Sex, Smoking, Cell composition (reference based), Batch effects, Ancestry (genomic PCs), Body mass index, Socio-economic position, Education, Alcohol consumption",mg/L,Beta values,Illumina HumanMethylationEPIC,Whole blood,NA,14040,1,Adults,Both,European
cg19063834,chr5:16509047,5,16509047,FAM134B,Open sea,1.1,0.215,6.6e-07,Basic_Model,Robert-F.-Hillary_c-reactive_protein__crp__levels_basic_model,Robert F. Hillary,Generation Scotland,doi.org/10.1101/2023.11.02.23298000,"Nov 3, 2023",C-reactive protein (CRP) levels,NA,Basic model,NA,C-reactive protein (CRP) levels,DNA methylation,"Age, Sex, Cell composition (reference based), Batch effects",mg/L,Beta values,Illumina HumanMethylationEPIC,Whole blood,NA,17936,1,Adults,Both,European
cg27031099,chr8:126620534,8,126620534,-,Open sea,-1,0.227,5.2e-06,Basic_Model,Robert-F.-Hillary_c-reactive_protein__crp__levels_basic_model,Robert F. Hillary,Generation Scotland,doi.org/10.1101/2023.11.02.23298000,"Nov 3, 2023",C-reactive protein (CRP) levels,NA,Basic model,NA,C-reactive protein (CRP) levels,DNA methylation,"Age, Sex, Cell composition (reference based), Batch effects",mg/L,Beta values,Illumina HumanMethylationEPIC,Whole blood,NA,17936,1,Adults,Both,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,-1.3,0.293,6.1e-06,Basic_Model,Robert-F.-Hillary_c-reactive_protein__crp__levels_basic_model,Robert F. Hillary,Generation Scotland,doi.org/10.1101/2023.11.02.23298000,"Nov 3, 2023",C-reactive protein (CRP) levels,NA,Basic model,NA,C-reactive protein (CRP) levels,DNA methylation,"Age, Sex, Cell composition (reference based), Batch effects",mg/L,Beta values,Illumina HumanMethylationEPIC,Whole blood,NA,17936,1,Adults,Both,European
cg03258508,chr22:47022167,22,47022167,GRAMD4,North shore,-1.8,0.466,7.4e-05,Basic_Model,Robert-F.-Hillary_c-reactive_protein__crp__levels_basic_model,Robert F. Hillary,Generation Scotland,doi.org/10.1101/2023.11.02.23298000,"Nov 3, 2023",C-reactive protein (CRP) levels,NA,Basic model,NA,C-reactive protein (CRP) levels,DNA methylation,"Age, Sex, Cell composition (reference based), Batch effects",mg/L,Beta values,Illumina HumanMethylationEPIC,Whole blood,NA,17936,1,Adults,Both,European
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,1.7,0.284,2.8e-09,Basic_Model,Robert-F.-Hillary_c-reactive_protein__crp__levels_basic_model,Robert F. Hillary,Generation Scotland,doi.org/10.1101/2023.11.02.23298000,"Nov 3, 2023",C-reactive protein (CRP) levels,NA,Basic model,NA,C-reactive protein (CRP) levels,DNA methylation,"Age, Sex, Cell composition (reference based), Batch effects",mg/L,Beta values,Illumina HumanMethylationEPIC,Whole blood,NA,17936,1,Adults,Both,European
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,2.6,0.261,1.4e-23,Basic_Model,Robert-F.-Hillary_c-reactive_protein__crp__levels_basic_model,Robert F. Hillary,Generation Scotland,doi.org/10.1101/2023.11.02.23298000,"Nov 3, 2023",C-reactive protein (CRP) levels,NA,Basic model,NA,C-reactive protein (CRP) levels,DNA methylation,"Age, Sex, Cell composition (reference based), Batch effects",mg/L,Beta values,Illumina HumanMethylationEPIC,Whole blood,NA,17936,1,Adults,Both,European
